symbol,condition,window_h,n_occurrences,win_rate,baseline_wr,edge_vs_base,avg_return,median_return,edge_score
OPUSDT,strong_mom_down,4,105,0.5619,0.465,0.0969,0.0041,0.0028,0.5579271024695525
SOLUSDT,high_volatility,4,58,0.6034,0.482,0.1214,0.0032,0.0016,0.5578763995383035
AVAXUSDT,rsi_30_50,24,427,0.5152,0.463,0.0522,0.0046,0.0021,0.5557254611040844
UNIUSDT,rsi_30_50,24,433,0.5058,0.453,0.0528,0.0031,0.0028,0.5557208556352559
ARPAUSDT,bb_lower_high_volume,24,35,0.6571,0.515,0.1421,0.0102,0.0154,0.5524075012199631
XRPUSDT,big_candle,12,247,0.4939,0.423,0.0709,0.0024,-0.0004,0.5503433688436927
NEARUSDT,momentum_continuation_up,12,54,0.5556,0.421,0.1346,0.0167,0.0129,0.5495461591402767
BTCUSDT,momentum_4h_neg,12,138,0.5507,0.466,0.0847,0.0033,0.0011,0.5479463394944487
VETUSDT,strong_mom_down,24,31,0.5806,0.412,0.1686,0.0146,0.0142,0.545023776555366
DOGEUSDT,bb_upper_high_volume,1,80,0.5875,0.484,0.1035,0.0019,0.0026,0.5438676338273863
WIFUSDT,squeeze_breakout_down,24,72,0.5417,0.424,0.1177,0.0059,0.0168,0.5410053335340264
AAVEUSDT,squeeze_breakout_down,4,40,0.6,0.458,0.142,0.0016,0.0032,0.5388521132926918
INJUSDT,trend_down_oversold,24,162,0.5185,0.437,0.0815,0.0074,0.0037,0.5378533484883449
XRPUSDT,trend_down_oversold,12,124,0.5161,0.423,0.0931,0.0034,0.0018,0.5350500175416542
UNIUSDT,big_candle,12,241,0.5228,0.457,0.0658,0.0041,0.0018,0.534035335353272
SUIUSDT,trend_down_oversold,12,145,0.5379,0.456,0.0819,0.0035,0.0016,0.5304805279900616
AAVEUSDT,bb_near_lower,24,235,0.4894,0.419,0.0704,0.0041,-0.0014,0.5281661394507755
DOGEUSDT,bb_near_lower,24,203,0.4975,0.423,0.0745,0.0026,0.0,0.5280771510912846
SOLUSDT,momentum_4h_pos,12,193,0.5078,0.433,0.0748,0.0037,0.0005,0.5276828127266273
WIFUSDT,trend_down,24,465,0.4753,0.424,0.0513,0.0014,0.0,0.5257891935079366
NEARUSDT,rsi_below_35,4,100,0.55,0.455,0.095,0.0035,0.0017,0.5225
LDOUSDT,bb_upper_high_volume,1,56,0.5893,0.472,0.1173,0.002,0.0009,0.5172833105568724
SOLUSDT,momentum_12h_pos,12,183,0.5082,0.433,0.0752,0.0029,0.0001,0.5169851234211646
CRVUSDT,bb_lower_high_volume,24,55,0.5636,0.44,0.1236,0.0035,0.0036,0.5166195061616315
CRVUSDT,strong_mom_down,24,113,0.531,0.44,0.091,0.0072,0.0064,0.513659275817151
VETUSDT,small_candle,4,238,0.5378,0.476,0.0618,0.0011,0.0012,0.5127406522422625
ADAUSDT,bb_near_upper,4,183,0.5137,0.44,0.0737,0.003,0.0004,0.5121563933233543
SUIUSDT,rsi_below_40,24,266,0.4962,0.433,0.0632,0.0029,-0.0005,0.511463512133182
LTCUSDT,momentum_4h_neg,4,134,0.5597,0.481,0.0787,0.0011,0.002,0.509896978470496
NEARUSDT,trend_up,24,378,0.4841,0.43,0.0541,0.0045,-0.0004,0.5091881026517074
BTCUSDT,high_volume,12,165,0.5394,0.466,0.0734,0.0029,0.0017,0.5085679344452068
DOGEUSDT,strong_mom_down,4,75,0.5733,0.471,0.1023,0.0015,0.0026,0.50791168836138
ADAUSDT,high_volume,24,159,0.4843,0.402,0.0823,0.0019,0.0,0.5025888695992818
LTCUSDT,rsi_below_40,24,222,0.5225,0.458,0.0645,0.0032,0.0021,0.5021373157283523
WIFUSDT,squeeze_breakout_down,4,72,0.5139,0.399,0.1149,0.0006,0.005,0.5010313426856161
XRPUSDT,rsi_below_30,12,63,0.5397,0.423,0.1167,0.0061,0.0018,0.49991198510180396
BTCUSDT,bb_lower_high_volume,12,72,0.5694,0.466,0.1034,0.0046,0.0028,0.4995790867784151
ADAUSDT,momentum_12h_pos,1,177,0.5254,0.454,0.0714,0.0008,0.0004,0.4990854551533507
UNIUSDT,big_candle,4,241,0.527,0.466,0.061,0.0008,0.0011,0.49905564396067104
SOLUSDT,bb_expansion,12,254,0.4961,0.433,0.0631,0.0011,-0.0001,0.49890222934677037
OPUSDT,bb_lower_high_volume,24,49,0.5714,0.447,0.1244,0.0079,0.0044,0.49757512
DOGEUSDT,rsi_below_40,12,261,0.4943,0.432,0.0623,0.0033,-0.0002,0.49750667360273476
LTCUSDT,rsi_below_35,24,118,0.5424,0.458,0.0844,0.005,0.0037,0.49728244848323855
SOLUSDT,bb_near_upper,12,201,0.5025,0.433,0.0695,0.0039,0.0004,0.4951296104320186
SUIUSDT,bb_lower_high_volume,12,56,0.5714,0.456,0.1154,0.0104,0.002,0.493446483509247
LTCUSDT,momentum_4h_neg,24,134,0.5373,0.458,0.0793,0.003,0.003,0.49322198541202655
ADAUSDT,oversold_high_volume,4,40,0.575,0.44,0.135,0.0007,0.0014,0.4909436067411409
FLOWUSDT,very_high_volume,12,90,0.5111,0.41,0.1011,0.0146,0.0018,0.49020562600358736
XRPUSDT,rsi_below_35,12,128,0.5078,0.423,0.0848,0.0033,0.0016,0.48718457970652235
LDOUSDT,momentum_4h_pos,24,219,0.5525,0.493,0.0595,0.0023,0.0043,0.48648707398520613
ATOMUSDT,rsi_below_30,1,73,0.5616,0.461,0.1006,0.0013,0.0012,0.4827102378390547
NEARUSDT,bb_upper_high_volume,24,79,0.5316,0.43,0.1016,0.0145,0.006,0.4800563578680886
