War Machine v0 Backtest — 60 gün
Tarih: 2026-04-08 19:22
Coinler: BTCUSDT, ETHUSDT, BNBUSDT, SOLUSDT, XRPUSDT, ADAUSDT, AVAXUSDT, DOGEUSDT, LTCUSDT, DOTUSDT

Trades: 198
Win Rate: 37.9%
PnL: $-480.42
Profit Factor: 0.73

Trade Detayları:
----------------------------------------------------------------------------------------------------
03/13 12:00 | DOGEUSDT     | $    0.0979 → $    0.0956 | PnL=$  -25.95 | STOP-LOSS    | 1c
03/13 12:00 | LTCUSDT      | $   55.3200 → $   55.7000 | PnL=$   +4.87 | TIME-EXIT    | 3c
03/15 12:00 | XRPUSDT      | $    1.4156 → $    1.4515 | PnL=$  +23.39 | TAKE-PROFIT  | 2c
03/15 16:00 | LTCUSDT      | $   55.2400 → $   56.5614 | PnL=$  +21.92 | TAKE-PROFIT  | 2c
03/15 20:00 | ADAUSDT      | $    0.2702 → $    0.2790 | PnL=$  +30.73 | TAKE-PROFIT  | 1c
03/15 20:00 | AVAXUSDT     | $    9.9500 → $   10.2514 | PnL=$  +28.29 | TAKE-PROFIT  | 1c
03/15 20:00 | DOGEUSDT     | $    0.0974 → $    0.1008 | PnL=$  +32.87 | TAKE-PROFIT  | 1c
03/16 08:00 | DOGEUSDT     | $    0.0999 → $    0.1030 | PnL=$  +28.92 | TIME-EXIT    | 3c
03/16 12:00 | BNBUSDT      | $  671.6700 → $  676.1100 | PnL=$   +4.61 | TIME-EXIT    | 3c
03/16 12:00 | AVAXUSDT     | $   10.0800 → $   10.4686 | PnL=$  +36.55 | TAKE-PROFIT  | 2c
03/17 00:00 | SOLUSDT      | $   94.0700 → $   93.8200 | PnL=$   -4.66 | TIME-EXIT    | 3c
03/17 00:00 | ADAUSDT      | $    0.2857 → $    0.2866 | PnL=$   +1.15 | TIME-EXIT    | 3c
03/17 00:00 | AVAXUSDT     | $   10.3500 → $   10.2700 | PnL=$   -9.73 | TIME-EXIT    | 3c
03/17 00:00 | DOGEUSDT     | $    0.1012 → $    0.0987 | PnL=$  -27.56 | STOP-LOSS    | 3c
03/17 04:00 | BNBUSDT      | $  674.2800 → $  664.8543 | PnL=$  -15.98 | STOP-LOSS    | 2c
03/17 12:00 | BTCUSDT      | $73914.3900 → $74446.1400 | PnL=$   +5.19 | TIME-EXIT    | 3c
03/18 08:00 | SOLUSDT      | $   92.0000 → $   90.0193 | PnL=$  -23.53 | STOP-LOSS    | 1c
03/18 08:00 | ADAUSDT      | $    0.2796 → $    0.2719 | PnL=$  -29.41 | STOP-LOSS    | 1c
03/18 08:00 | AVAXUSDT     | $    9.9800 → $    9.7736 | PnL=$  -22.68 | STOP-LOSS    | 1c
03/18 08:00 | LTCUSDT      | $   56.5600 → $   55.6407 | PnL=$  -18.25 | STOP-LOSS    | 1c
03/24 04:00 | BTCUSDT      | $71291.7000 → $70030.9350 | PnL=$  -19.68 | STOP-LOSS    | 2c
03/24 08:00 | SOLUSDT      | $   91.7700 → $   89.6629 | PnL=$  -24.96 | STOP-LOSS    | 1c
03/24 08:00 | DOGEUSDT     | $    0.0943 → $    0.0951 | PnL=$   +7.02 | TIME-EXIT    | 3c
03/24 12:00 | ETHUSDT      | $ 2135.1500 → $ 2158.5400 | PnL=$   +8.95 | TIME-EXIT    | 3c
03/24 12:00 | LTCUSDT      | $   55.6800 → $   56.2800 | PnL=$   +8.78 | TIME-EXIT    | 3c
03/24 20:00 | AVAXUSDT     | $    9.6200 → $    9.7500 | PnL=$  +11.51 | TIME-EXIT    | 3c
03/25 04:00 | SOLUSDT      | $   91.8100 → $   91.7500 | PnL=$   -2.65 | TIME-EXIT    | 3c
03/25 04:00 | DOGEUSDT     | $    0.0968 → $    0.0964 | PnL=$   -5.72 | TIME-EXIT    | 3c
03/25 08:00 | BNBUSDT      | $  648.3600 → $  647.6600 | PnL=$   -3.08 | TIME-EXIT    | 3c
03/25 08:00 | LTCUSDT      | $   56.4200 → $   56.6500 | PnL=$   +2.08 | TIME-EXIT    | 3c
03/25 12:00 | BTCUSDT      | $70832.9900 → $70921.4700 | PnL=$   -0.75 | TIME-EXIT    | 3c
03/25 12:00 | ETHUSDT      | $ 2162.5600 → $ 2153.2100 | PnL=$   -6.32 | TIME-EXIT    | 3c
03/25 12:00 | ADAUSDT      | $    0.2703 → $    0.2663 | PnL=$  -16.80 | TIME-EXIT    | 3c
